,,,,,,,,,
March-2024,Scheme Name,"No. of
Schemes
as on
March,
2024","No. of Folios
as on March,
2024","Funds
Mobilized
for the
month of
March 2024
(INR in
crore)","Repurchase/
Redemption
for the
month of
March 2024
(INR in
crore)","Net Assets
Under
Managemen
t as on
March, 2024
(INR in
crore)","Average Net
Assets Under
Managemen
t for the
month
March 2024
(INR in
crore)","No. of
segregat
ed
portfolio
s
created
as on
March,
2024","Net
Assets
Under
Manage
ment in
segregat
ed
portfoli
o as on
March,
2024
(INR in
crore)"
March-2024,Open ended Schemes,-,-,-,-,-,-,-,-
March-2024,Income/Debt Oriented Schemes,-,-,-,-,-,-,-,-
March-2024,Overnight Fund,3 5,"9 ,00,146","5 ,22,110.92","5 ,29,103.42","6 1,313.51","1 ,03,701.33",-,-
March-2024,Liquid Fund,3 6,"1 7,82,854","3 ,13,033.72","4 ,71,004.10","3 ,63,509.69","4 ,75,830.21",-,-
March-2024,Ultra Short Duration Fund,2 4,"6 ,33,208","1 8,962.13","2 8,097.08","8 3,560.91","9 0,056.33",-,-
March-2024,Low Duration Fund,2 0,"8 ,77,506","1 3,081.17","1 9,238.09","9 0,211.95","9 3,360.92",-,-
March-2024,Money Market Fund,2 3,"4 ,30,626","4 4,179.10","5 2,898.86","1 ,48,893.11","1 ,54,270.05",1,-
March-2024,Short Duration Fund,2 3,"4 ,56,155","4 ,760.66","1 1,210.70","9 9,004.18","1 ,02,189.84",-,-
March-2024,Medium Duration Fund,1 5,"2 ,30,314",1 70.78,5 35.23,"2 5,975.53","2 6,040.67",3,-
March-2024,Medium to Long Duration Fund,1 2,"1 ,00,915",1 30.94,2 40.46,"1 0,497.49","1 0,479.98",-,-
March-2024,Long Duration Fund,9,"6 4,858",8 95.81,1 23.52,"1 2,768.59","1 2,380.64",-,-
March-2024,Dynamic Bond Fund,2 2,"2 ,20,569",5 05.06,6 42.96,"3 1,617.13","3 1,604.60",-,-
March-2024,Corporate Bond Fund,2 1,"5 ,60,652","6 ,312.88","6 ,604.75","1 ,47,360.53","1 ,47,138.19",-,-
March-2024,Credit Risk Fund,1 4,"2 ,08,971",5 3.88,3 75.00,"2 3,141.35","2 3,212.91",3,-
March-2024,Banking and PSU Fund,2 3,"2 ,57,714","3 ,153.68","2 ,922.00","8 0,890.54","8 0,385.67",-,-
March-2024,Gilt Fund,2 1,"1 ,86,552","1 ,400.38","1 ,938.88","2 7,267.73","2 7,613.31",-,-
March-2024,Gilt Fund with 10 year constant duration,5,"3 8,142",1 22.30,6 4.26,"4 ,742.16","4 ,699.86",-,-
March-2024,Floater Fund,1 3,"2 ,15,735","1 ,094.97","3 ,267.98","5 1,469.16","5 2,581.56",-,-
March-2024,"Sub Total - I
(i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi)",3 16,"7 1,64,917","9 ,29,968.38","1 1,28,267.28","1 2,62,223.57","1 4,35,546.05",7,-
-,-,-,-,-,-,-,-,-,-
March-2024,Growth/Equity Oriented Schemes,-,-,-,-,-,-,-,-
March-2024,Multi Cap Fund,2 4,"6 0,71,425","3 ,334.45","1 ,507.00","1 ,24,681.69","1 ,22,872.06",-,-
March-2024,Large Cap Fund,3 1,"1 ,36,68,455","5 ,661.97","3 ,534.19","3 ,14,154.57","3 ,10,340.58",-,-
March-2024,Large & Mid Cap Fund,2 9,"9 2,77,595","5 ,036.98","1 ,821.40","2 ,05,736.86","2 ,02,389.44",-,-
March-2024,Mid Cap Fund,2 9,"1 ,40,15,426","4 ,943.79","3 ,926.10","2 ,96,985.72","2 ,93,303.11",-,-
March-2024,Small Cap Fund,2 7,"1 ,90,28,082","5 ,721.99","5 ,816.16","2 ,43,368.37","2 ,42,443.53",-,-
March-2024,Dividend Yield Fund,9,"8 ,77,410",6 15.71,2 93.17,"2 3,914.56","2 3,792.16",-,-
March-2024,Value Fund/Contra Fund,2 3,"6 1,78,068","2 ,988.00","1 ,279.85","1 ,49,098.82","1 ,47,986.61",-,-
March-2024,Focused Fund,2 8,"5 0,83,569","1 ,724.88","1 ,661.63","1 ,29,704.03","1 ,27,839.45",-,-
March-2024,Sectoral/Thematic Funds,1 60,"1 ,82,48,179","1 2,395.87","4 ,478.15","2 ,97,358.13","2 ,92,557.52",-,-
March-2024,ELSS,4 2,"1 ,61,13,976","3 ,876.13","2 ,087.07","2 ,13,759.85","2 ,10,525.36",-,-
March-2024,Flexi Cap Fund,3 8,"1 ,42,59,500","6 ,421.66","3 ,683.55","3 ,50,186.42","3 ,46,366.41",-,-
March-2024,Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),4 40,"1 2,28,21,685","5 2,721.41","3 0,088.26","2 3,48,949.01","2 3,20,416.25",-,-
-,-,-,-,-,-,-,-,-,-
