Metric,Value
"No. of Schemes as on June 30, 2022",37
"No. of Folios as on June30, 2022",1749619
Funds Mobilized for the month of June 2022 (INR in crore),298147.68
Repurchase/ Redemption for the month of June 2022 (INR in crore),313930.32
"Net Assets Under Management as on June 30, 2022 (INR in crore)",364492.65
Average Net Assets Under Management for the month June2022 (INR in crore),405242.55
"No. of segregated portfolios created as on June 30, 2022",
"Net Assets Under Management in segregated portfolio as on June 30, 2022 (INR in crore)",
Net Inflow or Outflow,-15782.64
Net Asset under Management per Scheme,9853.85
Net Inflow or Outflow per Scheme,-426.56
